grid_key,line,sta,lon,lat,shore,bathy_m,line_dist_km
st0-ln10_hist,10,0,-125.42942314301294,48.18502142930419,nearshore,,0
st20-ln10_hist,10,20,-126.94825343869068,47.61226912963821,nearshore,,130.053
st40-ln10_hist,10,40,-128.64522065734153,46.945632742261594,nearshore,,278.142
st60-ln10_hist,10,60,-130.3210570386976,46.27899862896433,nearshore,,426.222
st80-ln10_hist,10,80,-131.97650056174461,45.612366358391725,offshore,,574.294
st100-ln10_hist,10,100,-133.61225741462735,44.94573550805914,offshore,,722.358
st0-ln20_hist,20,0,-124.47534059492635,46.53760954436251,nearshore,,0
st20-ln20_hist,20,20,-125.63345608522451,45.87996346249448,nearshore,,115.407
st40-ln20_hist,20,40,-127.27703414190434,45.213318452427444,nearshore,,263.475
st60-ln20_hist,20,60,-128.9013336137217,44.54667498083185,nearshore,,411.534
st80-ln20_hist,20,80,-130.5070136675544,43.880032675797004,offshore,,559.586
st100-ln20_hist,20,100,-132.09470632288514,43.213391174361725,offshore,,707.628
st120-ln20_hist,20,120,-133.6650180123449,42.54675012345074,offshore,,855.663
st0-ln30_hist,30,0,-124.03628041913377,45.285568553254535,nearshore,,0
st20-ln30_hist,30,20,-124.7158278138811,44.30295023821274,nearshore,,121.846
st40-ln30_hist,30,40,-125.94629657152511,43.48101893506017,nearshore,,256.437
st60-ln30_hist,30,60,-127.52351447399724,42.8143671356366,nearshore,,404.475
st80-ln30_hist,30,80,-129.08370248276074,42.14771595988429,offshore,,552.505
st100-ln30_hist,30,100,-130.62742906009134,41.481065096150246,offshore,,700.527
st120-ln30_hist,30,120,-132.15524066104038,40.8144142423493,offshore,,848.541
st140-ln30_hist,30,140,-133.66766294536453,40.14776310654227,offshore,,996.546
st20-ln40_hist,40,20,-124.49572697454774,42.94169096202207,nearshore,,0
st40-ln40_hist,40,40,-124.89437645751596,41.77118855701709,nearshore,,134.363
st60-ln40_hist,40,60,-126.18402228605743,41.08207332953983,nearshore,,266.541
st80-ln40_hist,40,80,-127.70255978609624,40.415414285038175,offshore,,414.55
st100-ln40_hist,40,100,-129.20601281402273,39.74875516287315,offshore,,562.551
st120-ln40_hist,40,120,-130.6948760805649,39.08209570507443,offshore,,710.544
st140-ln40_hist,40,140,-132.16962629827782,38.41543566329449,offshore,,858.528
st100-ln50_hist,50,100,-127.8265154251006,38.01645956050058,offshore,,0
st120-ln50_hist,50,120,-129.27965121236386,37.34979252794737,offshore,,147.972
st140-ln50_hist,50,140,-130.71983488621834,36.683124681448206,offshore,,295.936
st40-ln55_hist,55,40,-124.22100990075123,40.052598261627395,nearshore,,0
st60-ln55_hist,55,60,-124.64175942261068,39.029664486529384,nearshore,,119.463
st80-ln55_hist,55,80,-126.1378630167069,38.39269929800704,offshore,,267.503
st45-ln60,60,45,-122.40165468786763,37.97329016114392,nearshore,0,0
st50-ln60,60,50,-122.86176460232171,37.85654483566969,nearshore,54.3,42.446
st55-ln60,60,55,-123.21372299378851,37.737707197936736,nearshore,855.5,76.114
st60-ln60,60,60,-123.66767088275562,37.52950824761685,nearshore,3379.7,122.359
st70-ln60,60,70,-124.33272965798145,37.2812095080412,offshore,3992.4,187.34
st80-ln60,60,80,-125.05371909955531,36.948042393245196,offshore,4296.4,261.311
st90-ln60,60,90,-125.77137519036404,36.614571405174615,offshore,4524.1,335.285
st100-ln60,60,100,-126.48610976913639,36.28136763107486,offshore,4633.1,409.257
st110-ln60_hist,60,110,-127.56904511480204,35.90775411563284,offshore,,515.175
st140-ln60_hist,60,140,-129.3141903602522,34.95082829868062,offshore,,705.971
st160-ln60_hist,60,160,-130.71113367573057,34.28415244202865,offshore,,853.907
st180-ln60_hist,60,180,-132.09694176616367,33.617475271943285,offshore,,1001.835
st200-ln60_hist,60,200,-133.47197493479877,32.9507966375159,offshore,,1149.755
st50-ln63.3,63.3,50,-122.56248452654356,37.38533606263561,nearshore,67,0
st55-ln63.3,63.3,55,-122.83124983070768,37.20515278804356,nearshore,306.1,31.126
st60-ln63.3,63.3,60,-123.28195887861166,36.9969517040874,nearshore,2495.1,77.369
st70-ln63.3,63.3,70,-123.91086121369132,36.70546577269683,offshore,3877.6,142.109
st80-ln63.3,63.3,80,-124.62634080482515,36.37212837582537,offshore,4166.7,216.081
st90-ln63.3,63.3,90,-125.33873473793565,36.0387910179909,offshore,4574.2,290.052
st100-ln63.3,63.3,100,-126.04809329571887,35.705453695221344,offshore,4674,364.02
st45-ln66.7,66.7,45,-121.86073864410885,36.88198793862965,nearshore,19.9,0
st50-ln66.7,66.7,50,-122.09178337278219,36.779901124514275,nearshore,791,23.515
st55-ln66.7,66.7,55,-122.41771700219954,36.62490973829739,nearshore,2600.7,57.336
st60-ln66.7,66.7,60,-122.86498955587203,36.41670579822588,nearshore,3108.1,103.577
st70-ln66.7,66.7,70,-123.48913973973357,36.1252159611902,offshore,3593,168.313
st80-ln66.7,66.7,80,-124.19928047998118,35.79187853512148,offshore,3964.1,242.282
st90-ln66.7,66.7,90,-124.90642254743986,35.458541144257495,offshore,4399,316.249
st100-ln66.7,66.7,100,-125.61061478320941,35.125203784828315,offshore,4613.6,390.214
st50-ln70,70,50,-121.73263303810434,36.11002674907514,nearshore,589.4,0
st55-ln70,70,55,-122.01029998662155,36.04899168789232,nearshore,1312.1,25.889
st60-ln70,70,60,-122.45425723406117,35.84078491434979,nearshore,3200.4,72.127
st70-ln70,70,70,-123.073822796331,35.54929120076888,offshore,3796.2,136.86
st80-ln70,70,80,-123.77881282888266,35.215953681805274,offshore,4114.5,210.826
st90-ln70,70,90,-124.48088806719646,34.88261619646157,offshore,4328.3,284.789
st100-ln70,70,100,-125.18009598421554,34.54927874119355,offshore,4546.4,358.75
st110-ln70_hist,70,110,-126.39794797922627,33.96803268498681,offshore,4736.5,488.139
st140-ln70_hist,70,140,-127.94901315378107,33.2185449062278,offshore,,654.409
st160-ln70_hist,70,160,-129.31776173961467,32.551862920252326,offshore,,802.325
st180-ln70_hist,70,180,-130.67628821092677,31.885179554714952,offshore,,950.234
st200-ln70_hist,70,200,-132.0249251087479,31.218494685745913,offshore,,1098.135
st50-ln73.3,73.3,50,-121.28875219396069,35.573074984711816,nearshore,204.1,0
st55-ln73.3,73.3,55,-121.60578331923091,35.4730842405622,nearshore,993.9,30.805
st60-ln73.3,73.3,60,-122.04651865646503,35.26487476187812,nearshore,3025.4,77.041
st70-ln73.3,73.3,70,-122.66162873750496,34.973377345846124,offshore,4060.8,141.77
st80-ln73.3,73.3,80,-123.36161314259893,34.640039865397206,offshore,4161.5,215.732
st90-ln73.3,73.3,90,-124.05876428923239,34.306702413260474,offshore,3214.7,289.692
st100-ln73.3,73.3,100,-124.7531283415507,33.9733649860415,offshore,4551.9,363.65
st45-ln76.7,76.7,45,-120.65289442552401,35.12509593580601,nearshore,20.5,0
st50-ln76.7,76.7,50,-120.88475195121606,35.05756212870088,nearshore,172.6,22.417
st55-ln76.7,76.7,55,-121.20110957658606,34.89284144443181,nearshore,563.7,56.607
st60-ln76.7,76.7,60,-121.63868959774268,34.68462923853864,nearshore,961.9,102.841
st70-ln76.7,76.7,70,-122.2494362843837,34.39312808811604,offshore,4026.1,167.567
st80-ln76.7,76.7,80,-122.94451852913978,34.05979058196738,offshore,4241.6,241.525
st90-ln76.7,76.7,90,-123.63684739927075,33.72645310099064,offshore,4235.2,315.482
st100-ln76.7,76.7,100,-124.32646779727048,33.39311564196886,offshore,4559.8,389.436
st45-ln80,80,45,-120.0401550997966,34.392498244693364,nearshore,186.4,0
st50-ln80,80,50,-120.45145103082963,34.40256035900618,nearshore,95.1,37.796
st55-ln80,80,55,-120.80223777468474,34.3169239582469,nearshore,800.8,71.411
st60-ln80,80,60,-121.23677365485771,34.108709050721,nearshore,2810.1,117.643
st70-ln80,80,70,-121.84331070773645,33.81720419952696,offshore,3637.8,182.366
st80-ln80,80,80,-122.5336635853295,33.483866617136194,offshore,3992.5,256.321
st90-ln80,80,90,-123.22134022471685,33.150529058953424,offshore,4241.7,330.274
st100-ln80,80,100,-123.90638432993075,32.817191521958826,offshore,4387.2,404.225
st110-ln80_hist,80,110,-125.24417459391313,32.285494054768535,offshore,4360.2,543.005
st140-ln80_hist,80,140,-126.62098493252664,31.486273106043978,offshore,3623,700.646
st160-ln80_hist,80,160,-127.96385442590889,30.81958574263981,offshore,,848.543
st180-ln80_hist,80,180,-129.2973455853926,30.152896966878618,offshore,,996.432
st200-ln80_hist,80,200,-130.6217665616849,29.48620667851482,offshore,,1144.314
st35-ln83.3,83.3,35,-118.99430970374254,34.05359586609454,nearshore,28.2,0
